# r0044
# agent8 — lake build (whole library)
# checkout: /home/milnes/projects/ScottLean4-agent8
# started: 2026-08-08T17:33:00-07:00
# lean: leanprover/lean4:v4.32.2
# host: Linux 7.0.0-28-generic x86_64, 20 cores
### === lake build  ===
✔ [167/562] Built Batteries.Data.MLList.Basic (1.7s)
✔ [168/644] Built Mathlib.Tactic.Linter.MinImports (1.7s)
✔ [169/646] Built Aesop.Tracing (1.6s)
✔ [170/646] Built Aesop.Forward.Substitution (1.6s)
✔ [171/648] Built Plausible.DeriveShrinkable (2.4s)
✔ [172/648] Built Batteries.CodeAction.Basic (1.2s)
✔ [173/722] Built ProofWidgets.Component.Basic (1.2s)
✔ [174/722] Built Batteries.Control.ForInStep.Lemmas (583ms)
✔ [175/723] Built Mathlib.Tactic.Linter.OverlappingInstances (2.8s)
✔ [176/723] Built Plausible.Arbitrary (890ms)
✔ [177/729] Built Aesop.RulePattern.Cache (528ms)
✔ [178/729] Built Batteries.Control.Nondet.Basic (866ms)
✔ [179/774] Built Batteries.Data.UInt (1.3s)
✔ [180/774] Built LeanSearchClient.Syntax (2.7s)
✔ [181/774] Built ProofWidgets.Cancellable (1.2s)
✔ [182/1144] Built Aesop.Index.Basic (847ms)
✔ [183/1144] Built Plausible.ArbitraryFueled (421ms)
✔ [184/1290] Built Batteries.Tactic.Congr (1.4s)
✔ [186/1346] Built Aesop.Util.Tactic.Ext (977ms)
✔ [187/1346] Built ProofWidgets.Component.MakeEditLink (726ms)
✔ [188/1346] Built Batteries.Classes.RatCast (403ms)
✔ [189/1346] Built ProofWidgets.Component.Panel.Basic (890ms)
✔ [190/1346] Built Mathlib.Tactic.TacticAnalysis.Declarations (3.5s)
✔ [191/1346] Built Plausible.Sampleable (915ms)
✔ [192/1346] Built Batteries.Data.Fin.Basic (1.2s)
✔ [193/1346] Built Mathlib.Data.Ineq (594ms)
✔ [194/1346] Built Aesop.Util.EqualUpToIds (5.1s)
✔ [195/1346] Built Aesop.Stats.Basic (1.9s)
✔ [196/1346] Built Plausible.Functions (628ms)
✔ [197/1346] Built Mathlib.Init (741ms)
✔ [198/1346] Built Batteries.Tactic.GeneralizeProofs (4.9s)
✔ [199/1346] Built Batteries.CodeAction.Misc (3.3s)
✔ [200/1346] Built LeanSearchClient.LoogleSyntax (1.7s)
✔ [201/1346] Built Aesop.BaseM (620ms)
✔ [202/1346] Built Aesop.Stats.Extension (546ms)
✔ [203/1346] Built Aesop.Script.Util (725ms)
✔ [204/1346] Built Aesop.Stats.File (665ms)
✔ [205/1346] Built Batteries.Data.List.Basic (5.4s)
✔ [206/1346] Built Plausible.DeriveArbitrary (2.1s)
✔ [207/1346] Built Mathlib.Lean.Expr.Rat (779ms)
✔ [208/1346] Built Mathlib.Tactic.FieldSimp.Attr (728ms)
✔ [209/1346] Built Mathlib.Util.DischargerAsTactic (811ms)
✔ [210/1346] Built Mathlib.Lean.Meta.Tactic.Rewrite (809ms)
✔ [211/1346] Built Mathlib.Util.ElabWithoutMVars (763ms)
✔ [212/1346] Built Mathlib.Tactic.TryThis (891ms)
✔ [213/1346] Built Mathlib.Data.Bracket (867ms)
✔ [214/1346] Built Mathlib.Tactic.HaveI (1000ms)
✔ [215/1346] Built Mathlib.Tactic.Linarith.Oracle.SimplexAlgorithm.Datatypes (1.1s)
✔ [216/1346] Built Mathlib.Logic.OpClass (799ms)
✔ [217/1346] Built Mathlib.Data.List.Monad (842ms)
✔ [218/1346] Built Mathlib.Data.Int.DivMod (847ms)
✔ [219/1346] Built Mathlib.Util.DelabNonCanonical (895ms)
✔ [220/1346] Built Mathlib.Tactic.Monotonicity.Attr (709ms)
✔ [221/1346] Built Mathlib.Util.PPOptions (750ms)
✔ [222/1346] Built Mathlib.Data.Prod.PProd (922ms)
✔ [223/1346] Built Mathlib.Util.TransImports (1.0s)
✔ [224/1346] Built Mathlib.Control.ULift (1.0s)
✔ [225/1346] Built Plausible.Testable (2.6s)
✔ [226/1346] Built Mathlib.Tactic.UnsetOption (874ms)
✔ [227/1346] Built Mathlib.Data.Option.NAry (1.4s)
✔ [228/1346] Built Qq.Macro (6.9s)
✔ [229/1346] Built Mathlib.Tactic.Trace (1.0s)
✔ [230/1346] Built Mathlib.Tactic.SwapVar (966ms)
✔ [231/1346] Built Mathlib.Util.WhatsNew (1.4s)
✔ [232/1346] Built ProofWidgets.Data.Html (4.2s)
✔ [233/1346] Built Mathlib.Tactic.SuccessIfFailWithMsg (1.1s)
✔ [234/1346] Built Mathlib.Util.Tactic (974ms)
✔ [235/1346] Built Mathlib.Tactic.SudoSetOption (1.1s)
✔ [236/1346] Built Mathlib.Tactic.Rename (957ms)
✔ [237/1346] Built Mathlib.Tactic.Relation.Rfl (935ms)
✔ [238/1346] Built Mathlib.Tactic.RSuffices (983ms)
✔ [239/1346] Built Mathlib.Tactic.Linter.UpstreamableDecl (1.0s)
✔ [240/1346] Built Batteries.Data.Array.Basic (4.6s)
✔ [241/1346] Built Mathlib.Tactic.Recover (1.2s)
✔ [242/1346] Built Mathlib.Tactic.InferParam (936ms)
✔ [243/1346] Built Mathlib.Tactic.SimpIntro (1.8s)
✔ [244/1346] Built Mathlib.Tactic.GuardGoalNums (850ms)
✔ [245/1346] Built Mathlib.Tactic.GuardHypNums (853ms)
✔ [246/1346] Built Mathlib.Tactic.Linter.HaveLetLinter (1.2s)
✔ [247/1346] Built Mathlib.Tactic.Linter.PPRoundtrip (1.2s)
✔ [248/1346] Built Mathlib.Tactic.Observe (1.5s)
✔ [249/1346] Built Mathlib.Tactic.Set (1.9s)
✔ [250/1346] Built Mathlib.Tactic.GrindAttrs (1.1s)
✔ [251/1346] Built Mathlib.Util.CountHeartbeats (2.6s)
✔ [252/1346] Built Batteries.Data.BinomialHeap.Basic (6.7s)
✔ [253/1346] Built Mathlib.Util.TermReduce (1.4s)
✔ [254/1346] Built Mathlib.Tactic.HigherOrder (1.5s)
✔ [255/1346] Built Mathlib.Tactic.Variable (2.9s)
✔ [256/1346] Built Mathlib.Tactic.ExistsI (811ms)
✔ [257/1346] Built Mathlib.Tactic.FunProp.Mor (1.2s)
✔ [258/1346] Built Mathlib.Lean.MessageData.Trace (762ms)
✔ [259/1346] Built Mathlib.Tactic.DSimpPercent (959ms)
✔ [260/1346] Built Mathlib.Lean.GoalsLocation (751ms)
✔ [261/1346] Built Mathlib.Tactic.Constructor (856ms)
✔ [262/1346] Built Mathlib.Tactic.Widget.SelectInsertParamsClass (806ms)
✔ [263/1346] Built Mathlib.Lean.Meta.KAbstractPositions (946ms)
✔ [264/1346] Built Mathlib.Tactic.Find (1.3s)
✔ [265/1346] Built Mathlib.Tactic.FailIfNoProgress (1.5s)
✔ [266/1346] Built Mathlib.Tactic.ClearExclamation (758ms)
✔ [267/1346] Built Mathlib.Tactic.NthRewrite (920ms)
✔ [268/1346] Built Mathlib.Tactic.FunProp.Decl (1.7s)
✔ [269/1346] Built Mathlib.Tactic.ClearExcept (936ms)
✔ [270/1346] Built Mathlib.Tactic.Clear_ (930ms)
✔ [271/1346] Built Mathlib.Lean.FoldEnvironment (1.1s)
✔ [272/1346] Built Mathlib.Tactic.ErwQuestion (1.7s)
✔ [273/1346] Built Mathlib.Tactic.DeprecateTo (1.8s)
✔ [274/1346] Built Mathlib.Tactic.FunProp.ToBatteries (2.3s)
✔ [275/1346] Built Mathlib.Logic.Function.ULift (730ms)
✔ [276/1346] Built Mathlib.Tactic.ApplyWith (1.0s)
✔ [277/1346] Built Mathlib.Tactic.ToExpr (1.0s)
✔ [278/1346] Built Mathlib.Tactic.ApplyCongr (1.0s)
✔ [279/1346] Built Mathlib.Tactic.PPWithUniv (1.2s)
✔ [280/1346] Built Mathlib.Lean.Meta.RefinedDiscrTree.Basic (1.8s)
✔ [281/1346] Built Mathlib.Data.Ordering.Basic (779ms)
✔ [282/1346] Built Mathlib.Tactic.GCongr.ForwardAttr (893ms)
✔ [283/1346] Built Mathlib.Lean.Meta.Basic (1.2s)
✔ [284/1346] Built Mathlib.Control.Combinators (788ms)
✔ [285/1346] Built Mathlib.Data.Option.Defs (864ms)
✔ [286/1346] Built Mathlib.Tactic.Check (1.6s)
✔ [287/1346] Built Mathlib.Tactic.Coe (1.1s)
✔ [288/1346] Built Mathlib.Tactic.CasesM (1.7s)
✔ [289/1346] Built Mathlib.Tactic.DefEqTransformations (2.7s)
✔ [290/1346] Built Mathlib.Tactic.OfNat (828ms)
✔ [291/1346] Built Mathlib.Data.Nat.Notation (764ms)
✔ [292/1346] Built Mathlib.Lean.Elab.Term (719ms)
✔ [293/1346] Built Mathlib.Util.WithWeakNamespace (803ms)
✔ [294/1346] Built Mathlib.Data.Int.Notation (773ms)
✔ [295/1346] Built Mathlib.Tactic.Substs (910ms)
✔ [296/1346] Built Mathlib.Util.AtLocation (1.5s)
✔ [297/1346] Built Mathlib.Tactic.Spread (1.6s)
✔ [298/1346] Built Mathlib.Lean.Name (1.2s)
✔ [299/1346] Built Mathlib.Data.Nat.BinaryRec (1.4s)
✔ [300/1346] Built Mathlib.Lean.Meta (1.2s)
✔ [301/1346] Built Mathlib.Tactic.Inhabit (869ms)
✔ [302/1346] Built Mathlib.Tactic.Core (1.9s)
✔ [303/1346] Built Mathlib.Tactic.SimpRw (1.4s)
✔ [304/1346] Built Mathlib.Tactic.FastInstance (2.4s)
✔ [305/1346] Built Mathlib.Tactic.ExtendDoc (1.1s)
✔ [306/1346] Built Mathlib.Logic.IsEmpty.Defs (1.2s)
✔ [307/1346] Built Mathlib.Tactic.Simps.NotationClass (1.5s)
✔ [308/1346] Built Mathlib.Tactic.CrossRefAttribute (2.2s)
✔ [309/1346] Built Mathlib.Tactic.Conv (2.4s)
✔ [310/1346] Built Mathlib.Logic.Nonempty (1.2s)
✔ [311/1346] Built Mathlib.Tactic.Translate.Attributes (799ms)
✔ [312/1346] Built Mathlib.Tactic.Eqns (915ms)
✔ [313/1346] Built Mathlib.Data.String.Defs (810ms)
✔ [314/1346] Built Mathlib.Tactic.Push.Attr (1.6s)
✔ [315/1346] Built LeanSearchClient (681ms)
✔ [316/1346] Built Mathlib.Logic.ExistsUnique (1.7s)
✔ [317/1346] Built Mathlib.Tactic.Use (2.3s)
✔ [318/1346] Built Mathlib.Lean.PrettyPrinter.Delaborator (1.2s)
✔ [319/1346] Built Mathlib.Tactic.Attr.Register (1.0s)
✔ [320/1346] Built Mathlib.Lean.Meta.Simp (1.5s)
✔ [321/1346] Built Aesop.Stats.Report (1.1s)
✔ [322/1346] Built Batteries.Data.List.Pairwise (976ms)
✔ [323/1346] Built Mathlib.Data.List.TFAE (1.0s)
✔ [324/1346] Built Mathlib.Util.AddRelatedDecl (1.9s)
✔ [325/1346] Built Mathlib.Util.CompileInductive (2.0s)
✔ [326/1346] Built Aesop.RuleTac.GoalDiff (1.7s)
✔ [327/1346] Built Mathlib.Tactic.Linarith.Oracle.SimplexAlgorithm.Gauss (1.0s)
✔ [328/1346] Built Aesop.Script.Step (1.8s)
✔ [329/1346] Built Mathlib.Tactic.Translate.UnfoldBoundary (2.7s)
✔ [330/1346] Built Batteries.CodeAction.Match (1.8s)
✔ [331/1346] Built Mathlib.Tactic.Linarith.Oracle.SimplexAlgorithm.SimplexAlgorithm (1.4s)
✔ [332/1346] Built Aesop.RulePattern (2.2s)
✔ [333/1346] Built Plausible.Tactic (1.3s)
✔ [334/1346] Built ProofWidgets.Component.FilterDetails (875ms)
✔ [335/1346] Built ProofWidgets.Component.OfRpcMethod (1.1s)
✔ [336/1346] Built Mathlib.Tactic.Linter (858ms)
